Year,Month,Day,Division,Region,Branch,PartId,Category,Description,PartNumber,Diameter,Width,PCD,Qty,Price
2021,April,7,TWT,Cape,Bellville,32465,ALINE WHEELS,WHEELS,8015GRA00P614008SBK,15,80,6140,2,2261
2021,April,7,TWT,Cape,Bellville,33544,TURN1 WHEELS,WHEELS,8017PHO45P514008NDP,17,80,5140,0,0
2021,April,7,TWT,Cape,Bellville,35866,RACING HART CONCEPTS OFF-ROAD,WHEELS,9017RS212N614006DBK,17,90,6140,2,4548
2021,April,7,TWT,Cape,Bellville,36035,BLACK RHINO WHEELS,WHEELS,9018RAB12P614012MMT,18,90,6140,4,8780
2021,April,7,TWT,Cape,Bellville,36073,TSW WHEELS,WHEELS,9018STM12P515012MBK,18,90,5150,4,5857
2021,April,7,TWT,Cape,Bellville,36075,TSW WHEELS,WHEELS,9018STM12P614012MBK,18,90,6140,2,2881
2021,April,7,TWT,Cape,Bellville,65366,RACING HART CONCEPT WHEELS,WHEELS,7515PIV32P011473GBM,15,75,114,4,3195
2021,April,7,TWT,Cape,Bellville,66778,LOAN WHEELS,WHEELS,8520A9040P012076RED,20,85,120,1,1758
2021,April,7,TWT,Cape,Bellville,67159,TSW,WHEELS,6515FLX30P810873SBM,15,65,8108,4,3195
2021,April,7,TWT,Cape,Bellville,69117,ALINE WHEELS,WHEELS,7517DES45P511473MCG,17,75,5114,4,5391
2021,April,7,TWT,Cape,Bellville,69263,RACING HART CONCEPT WHEELS,WHEELS,6014VAD30P810873MBK,14,60,8108,0,0
2021,April,7,TWT,Cape,Bellville,69279,OTHER,WHEELS,8017HYP40P011473SBK,17,80,114,0,0
2021,April,7,TWT,Cape,Bellville,79240,OTHER,WHEELS,7015HYP36P011473SBK,15,70,114,0,0
2021,April,7,TWT,Cape,Bellville,79298,TSW,WHEELS,6014FLO35P810873SBM,14,60,8108,4,2595
2021,April,7,TWT,Cape,Bellville,79300,TSW,WHEELS,6014ICO35P410073SBM,14,60,4100,4,2595
2021,April,7,TWT,Cape,Bellville,79304,TSW,WHEELS,7015FLO35P810873GBM,15,70,8108,4,3095
